1,bfs,s,0.009
1,bfs,s,0.045
1,bfs,s,0.006
1,bfs,s,0.046
1,bfs,s,0.006
1,bfs,s,0.019
1,bfs,s,0.006
1,bfs,s,0.024
1,bfs,s,0.043
1,bfs,s,0.016
2,bfs,s,0.304
2,bfs,s,0.296
2,bfs,s,0.284
2,bfs,s,0.392
2,bfs,s,0.304
2,bfs,s,0.348
2,bfs,s,0.157
2,bfs,s,0.117
2,bfs,s,0.505
2,bfs,s,0.39
3,bfs,s,3.015
3,bfs,s,1.786
3,bfs,s,3.357
3,bfs,s,0.501
3,bfs,s,2.529
3,bfs,s,1.684
3,bfs,s,4.394
3,bfs,s,3.748
3,bfs,s,3.586
3,bfs,s,5.632
4,bfs,s,48.785
4,bfs,s,11.078
4,bfs,s,83.075
4,bfs,s,30.107
4,bfs,s,17.21
4,bfs,s,71.391
4,bfs,s,87.634
4,bfs,s,92.945
4,bfs,s,88.588
4,bfs,s,56.203
5,bfs,s,286.868
5,bfs,s,119.25
5,bfs,s,359.047
5,bfs,s,676.389
5,bfs,s,799.666
5,bfs,s,874.531
5,bfs,s,604.013
5,bfs,s,867.831
5,bfs,s,1250.661
5,bfs,s,1315.039
6,bfs,s,8780.277
6,bfs,s,4217.43
6,bfs,s,14442.646
6,bfs,s,17523.584
6,bfs,s,15526.517
6,bfs,s,18479.161
6,bfs,s,14796.989
6,bfs,s,6342.173
6,bfs,s,11841.487
6,bfs,s,15646.19
1,bfs,p,5.471
1,bfs,p,0.759
1,bfs,p,7.511
1,bfs,p,0.79
1,bfs,p,7.849
1,bfs,p,0.479
1,bfs,p,5.111
1,bfs,p,1.206
1,bfs,p,0.731
1,bfs,p,0.473
2,bfs,p,0.298
2,bfs,p,0.245
2,bfs,p,0.246
2,bfs,p,0.287
2,bfs,p,0.258
2,bfs,p,0.346
2,bfs,p,0.271
2,bfs,p,0.268
2,bfs,p,6.102
2,bfs,p,3.35
3,bfs,p,1.271
3,bfs,p,0.511
3,bfs,p,0.817
3,bfs,p,0.43
3,bfs,p,0.977
3,bfs,p,0.427
3,bfs,p,2.079
3,bfs,p,10.227
3,bfs,p,1.233
3,bfs,p,6.644
4,bfs,p,31.898
4,bfs,p,10.039
4,bfs,p,16.193
4,bfs,p,14.058
4,bfs,p,4.556
4,bfs,p,9.603
4,bfs,p,34.492
4,bfs,p,37.117
4,bfs,p,21.052
4,bfs,p,14.886
5,bfs,p,139.373
5,bfs,p,71.24
5,bfs,p,290.955
5,bfs,p,388.2
5,bfs,p,203.474
5,bfs,p,45.77
5,bfs,p,238.606
5,bfs,p,320.67
5,bfs,p,257.448
5,bfs,p,423.172
6,bfs,p,3326.297
6,bfs,p,2074.423
6,bfs,p,4115.545
6,bfs,p,2192.686
6,bfs,p,2141.672
6,bfs,p,4243.004
6,bfs,p,684.897
6,bfs,p,2267.927
6,bfs,p,2663.879
6,bfs,p,2385.588
1,astar,s,0.009
1,astar,s,0.058
1,astar,s,0.004
1,astar,s,0.062
1,astar,s,0.003
1,astar,s,0.023
1,astar,s,0.003
1,astar,s,0.035
1,astar,s,0.056
1,astar,s,0.019
2,astar,s,0.162
2,astar,s,0.184
2,astar,s,0.105
2,astar,s,0.18
2,astar,s,0.13
2,astar,s,0.169
2,astar,s,0.135
2,astar,s,0.126
2,astar,s,0.24
2,astar,s,0.133
3,astar,s,1.407
3,astar,s,1.455
3,astar,s,1.87
3,astar,s,3.786
3,astar,s,2.158
3,astar,s,4.706
3,astar,s,1.888
3,astar,s,6.198
3,astar,s,1.664
3,astar,s,3.875
4,astar,s,39.515
4,astar,s,44.698
4,astar,s,19.558
4,astar,s,27.584
4,astar,s,25.246
4,astar,s,36.222
4,astar,s,27.79
4,astar,s,71.35
4,astar,s,21.275
4,astar,s,31.74
5,astar,s,347.459
5,astar,s,346.338
5,astar,s,850.077
5,astar,s,420.091
5,astar,s,378.214
5,astar,s,682.098
5,astar,s,330.89
5,astar,s,517.588
5,astar,s,408.864
5,astar,s,526.181
6,astar,s,7127.827
6,astar,s,5705.726
6,astar,s,5341.689
6,astar,s,6629.793
6,astar,s,8689.597
6,astar,s,12542.56
6,astar,s,5305.584
6,astar,s,12498.197
6,astar,s,13094.021
6,astar,s,8774.78
1,astar,p,0.293
1,astar,p,0.712
1,astar,p,0.288
1,astar,p,0.588
1,astar,p,0.306
1,astar,p,0.273
1,astar,p,0.243
1,astar,p,0.29
1,astar,p,0.68
1,astar,p,0.271
2,astar,p,0.508
2,astar,p,0.42
2,astar,p,0.369
2,astar,p,0.451
2,astar,p,0.37
2,astar,p,0.325
2,astar,p,0.288
2,astar,p,0.306
2,astar,p,3.183
2,astar,p,3.898
3,astar,p,0.745
3,astar,p,0.592
3,astar,p,0.961
3,astar,p,1.111
3,astar,p,1.515
3,astar,p,0.896
3,astar,p,2.729
3,astar,p,0.694
3,astar,p,0.609
3,astar,p,5.075
4,astar,p,10.416
4,astar,p,14.801
4,astar,p,9.326
4,astar,p,6.57
4,astar,p,5.394
4,astar,p,15.929
4,astar,p,15.871
4,astar,p,24.091
4,astar,p,10.894
4,astar,p,10.874
5,astar,p,81.412
5,astar,p,83.261
5,astar,p,276.489
5,astar,p,172.887
5,astar,p,81.709
5,astar,p,128.563
5,astar,p,121.134
5,astar,p,143.492
5,astar,p,156.271
5,astar,p,242.353
6,astar,p,2502.409
6,astar,p,1408.424
6,astar,p,1414.53
6,astar,p,2519.11
6,astar,p,1760.695
6,astar,p,5007.789
6,astar,p,1425.167
6,astar,p,3128.362
6,astar,p,2293.97
6,astar,p,2750.23
